Price;Açılış;Yüksek;Düşük;Hac.;Fark %
6,2;5,66;6,2;5,65;16,61M;9,93%
5,64;5,65;5,9;5,63;6,57M;1,81%
5,54;5,27;5,56;5,25;6,88M;6,13%
5,22;5,21;5,25;5,15;2,52M;0,97%
5,17;5,15;5,27;5,15;3,00M;1,17%
5,11;5,21;5,25;5,01;4,69M;-1,16%
5,17;5,44;5,47;5,17;4,46M;-4,79%
5,43;5,43;5,51;5,38;4,28M;0,00%
5,43;5,53;5,55;5,31;4,53M;-1,81%
5,53;5,4;5,66;5,35;4,54M;1,47%
5,45;5,86;5,91;5,45;3,67M;-6,68%
5,84;5,6;5,84;5,57;4,08M;4,29%
5,6;5,49;5,62;5,37;4,87M;2,75%
5,45;5,73;5,74;5,34;5,32M;-4,89%
5,73;5,8;5,9;5,72;3,20M;-1,21%
5,8;5,95;5,95;5,77;3,97M;-3,81%
6,03;5,8;6,04;5,76;5,95M;3,97%
5,8;6;6,13;5,8;6,84M;-3,01%
5,98;6,1;6,18;5,94;5,72M;-1,97%
6,1;6,32;6,4;5,9;8,81M;-2,71%
6,27;6,56;6,64;6,27;17,50M;-4,42%
6,56;6,54;6,69;6,52;12,38M;0,61%
6,52;6,37;6,98;6,22;30,60M;0,62%
6,48;6,41;6,57;6,34;7,22M;-0,15%
6,49;6,49;6,57;6,2;10,90M;0,15%
6,48;6,56;6,67;6,46;10,06M;-1,07%
6,55;6,78;6,81;6,5;13,03M;-2,53%
6,72;6,61;6,81;6,58;18,47M;1,97%
6,59;6,47;6,7;6,47;23,08M;2,17%
6,45;6,5;6,59;6,45;8,86M;-0,77%
6,5;6,51;6,67;6,43;17,55M;0,15%
6,49;6,59;6,61;6,42;17,33M;-1,37%
6,58;6,49;6,59;6,43;23,94M;1,54%
6,48;6,33;6,5;6,25;20,16M;2,53%
6,32;6,16;6,38;5,99;12,39M;2,60%
6,16;6,3;6,45;6,11;18,04M;1,15%
6,09;5,78;6,09;5,74;8,40M;5,36%
5,78;6,11;6,16;5,77;7,57M;-5,40%
6,11;6,01;6,35;6,01;12,50M;2,00%
5,99;6,05;6,07;5,75;6,89M;-0,99%
6,05;6,2;6,26;6;6,08M;-2,26%
6,19;6,14;6,28;6;8,51M;1,14%
6,12;6,4;6,46;6,09;12,71M;-3,77%
6,36;6,46;6,53;6,31;11,54M;-1,55%
6,46;6,25;6,47;6,25;15,83M;3,53%
6,24;6,4;6,42;6,2;9,54M;-2,35%
6,39;6,24;6,45;6,23;20,18M;2,40%
6,24;6,21;6,35;6,15;14,90M;0,48%
6,21;6,33;6,34;6,18;8,60M;-0,80%
6,26;6,13;6,38;6,08;19,73M;2,29%
6,12;6,25;6,29;6,07;9,24M;-1,61%
6,22;6,15;6,33;6,13;12,30M;2,30%
6,08;5,99;6,11;5,88;8,51M;1,50%
5,99;6,3;6,41;5,8;18,98M;-3,39%
6,2;6,4;6,7;6,2;39,43M;-2,67%
6,37;6,02;6,54;5,93;44,00M;6,34%
5,99;5,75;6,1;5,55;25,20M;3,99%
5,76;6,08;6,08;5,75;18,07M;-5,57%
6,1;5,85;6,17;5,79;27,99M;4,27%
5,85;5,94;5,96;5,82;13,50M;-1,52%
5,94;5,64;5,96;5,58;24,16M;5,51%
5,63;5,63;5,77;5,6;12,86M;0,72%
5,59;5,46;5,62;5,31;11,43M;2,38%
5,46;5,81;5,88;5,43;14,91M;-5,54%
5,78;5,64;5,87;5,52;20,77M;2,48%
5,64;5,77;5,77;5,6;10,39M;-1,05%
5,7;5,5;5,76;5,5;20,30M;4,20%
5,47;5,41;5,52;5,36;8,35M;1,11%
5,41;5,6;5,64;5,39;10,83M;-3,22%
5,59;5,63;5,72;5,57;12,63M;-0,89%
5,64;5,78;5,78;5,57;12,06M;-2,42%
5,78;5,78;5,8;5,61;16,66M;0,52%
5,75;5,78;5,83;5,7;14,87M;-0,52%
5,78;5,88;5,88;5,69;12,02M;0,52%
5,75;5,73;5,77;5,66;13,37M;0,17%
5,74;5,6;6,01;5,41;38,19M;2,68%
5,59;5,77;5,97;5,49;39,20M;-1,24%
5,66;5,66;5,66;5,5;52,04M;9,90%
5,15;5,16;5,23;5,05;8,07M;0,39%
5,13;5,05;5,16;4,89;10,90M;0,79%
5,09;5,36;5,38;5,09;14,62M;-4,86%
5,35;5,31;5,44;5,27;20,11M;1,33%
5,28;5,26;5,3;5,13;17,17M;0,38%
5,26;5,03;5,28;5,02;26,40M;5,20%
5;4,82;5,03;4,79;25,72M;3,95%
4,81;4,8;4,84;4,6;14,57M;1,05%
4,76;4,64;4,85;4,64;14,72M;2,81%
4,63;4,7;4,7;4,56;11,91M;-1,28%
4,69;4,43;4,72;4,4;19,91M;5,87%
4,43;4,35;4,45;4,27;11,28M;2,55%
4,32;4,29;4,41;4,24;9,90M;0,70%
4,29;4,2;4,33;4,2;10,38M;3,13%
4,16;4,17;4,17;4,11;2,40M;0,00%
4,16;4,14;4,18;4,13;5,56M;0,97%
4,12;4,01;4,21;4,01;7,32M;4,04%
3,96;3,82;3,96;3,8;6,42M;3,94%
3,81;3,88;3,95;3,8;5,78M;-1,04%
3,85;3,94;3,97;3,85;6,22M;-2,28%
3,94;4,12;4,13;3,92;6,56M;-4,37%
4,12;4,14;4,23;4,12;10,03M;-0,24%
4,13;4,13;4,24;4,1;6,63M;0,73%
4,1;4,2;4,26;4,08;7,75M;-2,38%
4,2;4,29;4,32;4,16;8,98M;-2,33%
4,3;4,25;4,43;4,24;17,49M;1,42%
4,24;4,24;4,3;4,21;7,44M;0,24%
4,23;4,31;4,38;4,18;11,34M;-1,86%
4,31;4,37;4,52;4,31;20,12M;-1,15%
4,36;4,53;4,53;4,36;13,61M;-4,39%
4,56;4,61;4,81;4,38;44,95M;-0,87%
4,6;4,81;4,81;4,53;56,30M;5,02%
4,38;4,38;4,38;4,36;5,29M;9,77%
3,99;3,83;4,05;3,78;20,43M;5,00%
3,8;3,58;3,8;3,49;10,09M;9,83%
3,46;3,34;3,52;3,31;10,23M;5,17%
3,29;3,22;3,3;3,21;8,97M;2,17%
3,22;3,2;3,25;3,2;3,69M;0,62%
3,2;3,22;3,26;3,19;4,12M;-0,31%
3,21;3,23;3,28;3,21;4,46M;0,00%
3,21;3,22;3,26;3,18;3,87M;0,00%
3,21;3,37;3,38;3,21;5,17M;-4,46%
3,36;3,26;3,37;3,26;8,34M;3,70%
3,24;3,17;3,27;3,15;6,01M;2,21%
3,17;3,19;3,26;3;4,11M;-1,86%
3,23;3,3;3,33;3,19;6,35M;-2,42%
3,31;3,17;3,36;3,12;10,01M;2,16%
3,24;3,19;3,27;3,09;5,52M;1,57%
3,19;3,21;3,28;3,17;5,72M;-0,62%
3,21;3,17;3,24;3,13;3,82M;1,58%
3,16;3,24;3,26;3,13;4,59M;-2,47%
3,24;3,14;3,28;3,12;4,84M;3,51%
3,13;3,32;3,33;3,05;7,34M;-5,72%
3,32;3,55;3,6;3,32;5,70M;-6,48%
